Id,Prediction
893,125242.39
1106,272956.84
414,114666.48
523,116909.805
1037,231855.12
615,75682.82
219,175664.33
1161,114206.14
650,75786.68
888,144051.83
577,106434.51
1253,112133.55
1062,99895.74
568,131441.84
1109,133906.55
1114,124370.65
169,155844.92
1103,109959.63
1121,105945.37
68,166814.06
1041,136211.05
454,154366.31
671,174610.73
1095,116580.914
193,155745.97
124,106937.125
416,129845.086
278,100206.414
434,141071.73
1318,146210.7
185,126066.125
555,226667.42
1174,169691.34
77,106725.2
907,174810.34
675,147482.3
1399,116581.805
375,188067.9
1033,410476.94
260,114268.24
52,121802.58
245,175892.31
1102,110102.766
582,231706.14
680,127890.3
1133,148622.02
1221,108934.86
50,109703.016
592,307586.44
1270,125248.836
1250,122705.23
1139,194954.16
491,106585.24
1025,181283.77
812,118594.47
142,183112.03
847,140174.0
926,108929.875
773,120942.32
533,112631.92
30,89746.26
1300,133128.8
66,220254.11
766,170125.61
1348,194140.77
176,162128.55
395,99408.016
620,237325.81
1132,96285.77
116,130737.49
895,104057.21
1222,127577.71
428,109187.81
737,97508.14
899,309754.78
683,151824.44
991,300503.6
719,334942.72
45,111920.086
60,104459.91
364,96915.36
399,90414.79
423,117423.13
495,97342.2
417,157537.69
585,108286.66
271,221836.83
352,155277.02
1079,117157.586
1345,192214.11
837,163615.64
644,132128.56
275,114559.36
323,183403.19
79,96495.36
923,129167.52
276,137204.77
1266,134856.97
221,170378.89
317,215148.62
1007,131903.95
1241,178403.77
71,253296.95
16,109929.44
1165,178194.62
1321,160265.97
755,123596.41
721,139925.05
1048,139649.89
629,236016.72
637,69813.49
465,107495.61
856,121365.67
1398,127398.74
383,178846.0
1429,104979.82
789,93316.04
1341,108707.58
1217,108075.57
333,187584.27
544,117408.58
204,116823.54
1135,157413.62
1415,189424.77
430,124009.17
1273,149299.36
747,198766.31
590,91037.59
839,127996.2
1294,153353.84
591,165046.17
586,246147.1
1202,162275.81
199,122220.55
917,82725.84
995,180730.33
1229,227131.36
44,118437.82
1034,160472.44
692,611762.2
232,401608.84
527,123933.984
102,119018.68
1093,146535.67
412,120817.36
1393,126797.53
908,203572.33
783,159628.36
953,106176.39
621,82450.96
670,119701.67
129,151203.39
530,166133.28
911,134480.4
999,97290.04
1451,110664.07
1164,168753.7
248,137310.8
529,86651.68
734,130743.73
33,126226.37
635,126381.76
1028,228455.66
1054,104533.85
576,119935.234
844,113444.54
298,228781.83
262,252750.17
1047,292363.97
940,179513.11
310,233887.19
164,88302.8
1010,121511.83
600,122334.125
1176,229625.14
372,135668.36
240,112434.45
882,122702.414
1334,106656.016
1359,139042.05
1157,141912.94
813,103643.62
1332,114290.695
426,135257.53
1055,247230.23
64,130874.21
818,189241.67
1395,157546.7
1307,128751.336
916,91508.336
433,102628.76
694,104187.49
967,191663.14
1171,282307.16
1043,130053.04
608,182439.89
1090,185314.69
31,91604.91
57,170590.9
1179,142965.7
452,179270.52
559,187600.0
366,111043.39
424,305268.47
959,146701.78
807,111335.63
1134,173534.33
980,120015.1
355,124110.69
1357,106752.89
307,177104.23
797,143952.67
100,114962.555
756,124742.21
272,143349.89
241,165238.0
598,135004.44
947,120602.086
359,112255.74
985,128892.625
778,155785.47
708,137749.39
599,166528.58
875,98018.51
931,161143.84
340,135172.94
1280,94111.1
1433,104293.47
1042,147426.33
712,110840.04
1050,97703.25
311,145003.7
572,132226.62
918,104388.8
603,168544.94
290,125653.46
429,164620.8
1086,115869.53
209,171705.05
681,92957.73
354,115627.78
325,234365.89
238,157291.48
59,408790.84
1160,160880.34
536,111634.4
368,149483.42
696,116354.32
24,105268.36
108,103914.61
1431,148368.52
1019,127230.945
362,134034.31
1002,93669.66
539,189435.23
1422,103597.17
1178,115390.5
1292,101973.53
782,139566.55
1448,229542.81
775,215531.42
673,155091.42
234,120287.125
427,188802.9
197,215590.22
1227,187056.9
82,147188.06
1369,113033.51
1126,113730.95
112,141149.52
1244,292231.84
745,127297.45
938,177715.36
345,94571.03
1233,106497.45
866,125347.3
1089,112837.92
351,181353.27
589,158043.9
1428,140182.83
949,185636.61
1450,89187.055
990,166692.56
678,112306.28
479,196181.0
1272,148013.5
1411,189440.66
480,106045.64
1362,163791.12
803,187805.5
652,102978.766
723,107441.91
