modelo,clase_modelo,ruta_archivo,hidden_dims,dropout,learning_rate,weight_decay,seed,val_rmse_log,test_rmse_dollars,descripcion,fecha_registro
grid_semilla42_64_32_drop02_lr0.001_wd0.0001,MLP,,"[64, 32]",0.2,0.001,0.0001,42.0,0.6092385094363515,,"{'hidden_dims': [64, 32], 'dropout': 0.2, 'learning_rate': 0.001, 'weight_decay': 0.0001}",2026-08-19 02:38
grid_semilla42_64_32_drop02_lr0.001_wd1e-05,MLP,,"[64, 32]",0.2,0.001,1e-05,42.0,0.7263287233099426,,"{'hidden_dims': [64, 32], 'dropout': 0.2, 'learning_rate': 0.001, 'weight_decay': 1e-05}",2026-08-19 02:38
grid_semilla42_64_32_drop02_lr0.0005_wd0.0001,MLP,,"[64, 32]",0.2,0.0005,0.0001,42.0,0.6588488617533943,,"{'hidden_dims': [64, 32], 'dropout': 0.2, 'learning_rate': 0.0005, 'weight_decay': 0.0001}",2026-08-19 02:39
grid_semilla42_64_32_drop02_lr0.0005_wd1e-05,MLP,,"[64, 32]",0.2,0.0005,1e-05,42.0,0.6922429081976139,,"{'hidden_dims': [64, 32], 'dropout': 0.2, 'learning_rate': 0.0005, 'weight_decay': 1e-05}",2026-08-19 02:39
grid_semilla42_64_32_drop03_lr0.001_wd0.0001,MLP,,"[64, 32]",0.3,0.001,0.0001,42.0,0.8883644494487196,,"{'hidden_dims': [64, 32], 'dropout': 0.3, 'learning_rate': 0.001, 'weight_decay': 0.0001}",2026-08-19 02:39
grid_semilla42_64_32_drop03_lr0.001_wd1e-05,MLP,,"[64, 32]",0.3,0.001,1e-05,42.0,0.6080564718589058,,"{'hidden_dims': [64, 32], 'dropout': 0.3, 'learning_rate': 0.001, 'weight_decay': 1e-05}",2026-08-19 02:39
grid_semilla42_64_32_drop03_lr0.0005_wd0.0001,MLP,,"[64, 32]",0.3,0.0005,0.0001,42.0,1.014883151915646,,"{'hidden_dims': [64, 32], 'dropout': 0.3, 'learning_rate': 0.0005, 'weight_decay': 0.0001}",2026-08-19 02:39
grid_semilla42_64_32_drop03_lr0.0005_wd1e-05,MLP,,"[64, 32]",0.3,0.0005,1e-05,42.0,0.8190770427892969,,"{'hidden_dims': [64, 32], 'dropout': 0.3, 'learning_rate': 0.0005, 'weight_decay': 1e-05}",2026-08-19 02:40
grid_semilla42_128_64_32_drop02_lr0.001_wd0.0001,MLP,,"[128, 64, 32]",0.2,0.001,0.0001,42.0,0.3906067144564579,,"{'hidden_dims': [128, 64, 32], 'dropout': 0.2, 'learning_rate': 0.001, 'weight_decay': 0.0001}",2026-08-19 02:40
grid_semilla42_128_64_32_drop02_lr0.001_wd1e-05,MLP,,"[128, 64, 32]",0.2,0.001,1e-05,42.0,0.3704752167537261,,"{'hidden_dims': [128, 64, 32], 'dropout': 0.2, 'learning_rate': 0.001, 'weight_decay': 1e-05}",2026-08-19 02:40
grid_semilla42_128_64_32_drop02_lr0.0005_wd0.0001,MLP,,"[128, 64, 32]",0.2,0.0005,0.0001,42.0,0.395555193539399,,"{'hidden_dims': [128, 64, 32], 'dropout': 0.2, 'learning_rate': 0.0005, 'weight_decay': 0.0001}",2026-08-19 02:40
grid_semilla42_128_64_32_drop02_lr0.0005_wd1e-05,MLP,modelos\grid_semilla42_128_64_32_drop02_lr0.0005_wd1e-05.pt,"[128, 64, 32]",0.2,0.0005,1e-05,42.0,0.3543937395776725,,"{'hidden_dims': [128, 64, 32], 'dropout': 0.2, 'learning_rate': 0.0005, 'weight_decay': 1e-05}",2026-08-19 02:40
grid_semilla42_128_64_32_drop03_lr0.001_wd0.0001,MLP,,"[128, 64, 32]",0.3,0.001,0.0001,42.0,0.4177638841214121,,"{'hidden_dims': [128, 64, 32], 'dropout': 0.3, 'learning_rate': 0.001, 'weight_decay': 0.0001}",2026-08-19 02:41
grid_semilla42_128_64_32_drop03_lr0.001_wd1e-05,MLP,,"[128, 64, 32]",0.3,0.001,1e-05,42.0,0.5659106881938049,,"{'hidden_dims': [128, 64, 32], 'dropout': 0.3, 'learning_rate': 0.001, 'weight_decay': 1e-05}",2026-08-19 02:41
grid_semilla42_128_64_32_drop03_lr0.0005_wd0.0001,MLP,,"[128, 64, 32]",0.3,0.0005,0.0001,42.0,0.5670544784481956,,"{'hidden_dims': [128, 64, 32], 'dropout': 0.3, 'learning_rate': 0.0005, 'weight_decay': 0.0001}",2026-08-19 02:41
grid_semilla42_128_64_32_drop03_lr0.0005_wd1e-05,MLP,,"[128, 64, 32]",0.3,0.0005,1e-05,42.0,0.7997937758698557,,"{'hidden_dims': [128, 64, 32], 'dropout': 0.3, 'learning_rate': 0.0005, 'weight_decay': 1e-05}",2026-08-19 02:41
grid_semilla42_128_64_drop02_lr0.001_wd0.0001,MLP,,"[128, 64]",0.2,0.001,0.0001,42.0,0.5995028356612853,,"{'hidden_dims': [128, 64], 'dropout': 0.2, 'learning_rate': 0.001, 'weight_decay': 0.0001}",2026-08-19 02:42
grid_semilla42_128_64_drop02_lr0.001_wd1e-05,MLP,,"[128, 64]",0.2,0.001,1e-05,42.0,0.4611158699349583,,"{'hidden_dims': [128, 64], 'dropout': 0.2, 'learning_rate': 0.001, 'weight_decay': 1e-05}",2026-08-19 02:42
grid_semilla42_128_64_drop02_lr0.0005_wd0.0001,MLP,,"[128, 64]",0.2,0.0005,0.0001,42.0,0.5517256105641567,,"{'hidden_dims': [128, 64], 'dropout': 0.2, 'learning_rate': 0.0005, 'weight_decay': 0.0001}",2026-08-19 02:42
grid_semilla42_128_64_drop02_lr0.0005_wd1e-05,MLP,,"[128, 64]",0.2,0.0005,1e-05,42.0,0.6751899226875347,,"{'hidden_dims': [128, 64], 'dropout': 0.2, 'learning_rate': 0.0005, 'weight_decay': 1e-05}",2026-08-19 02:42
grid_semilla42_128_64_drop03_lr0.001_wd0.0001,MLP,,"[128, 64]",0.3,0.001,0.0001,42.0,0.5565233229689263,,"{'hidden_dims': [128, 64], 'dropout': 0.3, 'learning_rate': 0.001, 'weight_decay': 0.0001}",2026-08-19 02:42
grid_semilla42_128_64_drop03_lr0.001_wd1e-05,MLP,,"[128, 64]",0.3,0.001,1e-05,42.0,0.6189323620551328,,"{'hidden_dims': [128, 64], 'dropout': 0.3, 'learning_rate': 0.001, 'weight_decay': 1e-05}",2026-08-19 02:42
